Rate (nm/s),Curvature (/nm),Species
0.0111806074712889,0.0348689593374729,1
0.0239552391418422,0.0558782257139683,1
0.0148209253596977,0.0506132245063782,1
0.0216913150045194,0.0557897500693798,1
0.0138040904922421,0.0496263727545738,1
0.0165539018444822,0.0435290411114693,1
0.00874961993015556,0.0395100191235542,1
0.0106678402752819,0.0304436478763819,1
0.00466272696546096,0.0230490453541279,1
0.0069065234637479,0.0248403437435627,1
0.00727033640367687,0.0269781183451414,1
0.023271880513836,0.0461123809218407,1
0.0193129635620863,0.0481117554008961,1
0.0254340594401908,0.056403424590826,1
0.0269031837698681,0.0487316399812698,1
0.020442890341221,0.0480010136961937,1
0.0115359056402014,0.0366283692419529,1
0.0125956337734894,0.033044770359993,1
0.0114980536132664,0.0308684445917606,1
0.00796885740811542,0.0221228152513504,1
0.0101365476393727,0.0237021427601576,1
0.0086447927693656,0.0204788949340582,1
0.0195133293868326,0.0330038741230965,1
0.0137265446461286,0.0400947295129299,1
0.0250423691400818,0.0463391654193401,1
0.0264995688655035,0.0294751320034265,1
0.0148174403641068,0.0314770303666592,1
0.0122872336044688,0.0323757156729698,1
0.0142575569263041,0.0359760001301765,1
0.00981924896772887,0.0312637537717819,1
0.00899662769236313,0.0280533451586962,1
0.00836930542461181,0.0272259209305048,1
0.00741633682884525,0.023597227409482,1
0.0104484435833065,0.0191797763109207,1
0.00843394159245776,0.0184954013675451,1
0.00833002541509068,0.0227814745157957,1
0.0125989087486737,0.0218646712601185,1
0.0072953441465884,0.0234446320682764,1
0.02699837230749,0.0485329851508141,1
0.022139156350797,0.0383940786123276,1
0.0177732271899635,0.0229432620108128,1
0.0165880778855906,0.0255468878895044,1
0.0216163638296351,0.0387526080012321,1
0.0151962455222755,0.028431499376893,1
0.0151157640104231,0.0323572009801865,1
0.0135990161845484,0.0295128040015698,1
0.0113774049577952,0.0323253534734249,1
0.00832272576572942,0.028200825676322,1
0.00887783533806571,0.0249164402484894,1
0.0225792850424838,0.0211946871131659,1
0.0177312909880578,0.00898112636059523,1
0.0166590329469402,0.0185414534062147,1
0.0172198077517813,0.0151057234033942,1
0.0186892571168598,0.0282832141965628,1
0.023227479632094,0.0229792427271605,1
0.0133616834893567,0.0374737940728664,1
0.00910967509325807,0.0356335006654262,1
0.0142294155985221,0.0272053070366383,1
0.00841902786833273,0.0228518396615982,1
0.00846322189351109,0.0209221187978983,1
0.00657840068501881,0.032363299280405,1
0.0070273171741684,0.0258458405733108,1
0.00732608938708796,0.0261137187480927,1
0.0115639942818725,0.0304260160773993,1
0.0102552748091191,0.0333780609071255,1
0.0283039038600292,0.0395975299179554,0
0.0169349473384561,0.00775619596242905,1
0.0225806505314921,0.0257908757776022,1
0.019917489479691,0.0295581482350826,1
0.0184836945844291,0.0363988988101482,1
0.0184767911065254,0.02704256772995,1
0.00994132943170842,0.0404704473912716,1
0.00821814658116948,0.0406868048012257,1
0.0121142002928874,0.0265106558799744,1
0.00988167607780945,0.0306069701910019,1
0.0082993413631345,0.0420445464551449,1
0.00909084658221293,0.0390199422836304,1
0.0103306015427352,0.0335419587790966,1
0.0101997915328176,0.0392030701041222,1
0.0272201543049305,0.033758144825697,0
0.0337123736785035,0.0288067348301411,0
0.0249188415001938,0.0324894674122334,0
0.0285220527709603,0.0354682914912701,1
0.0335680031039357,0.0275935083627701,0
0.0278104435166194,0.0320509150624275,1
0.0155105903212649,0.00692546041682363,0
0.0179991692542585,0.0186350140720606,1
0.0176227580172042,0.0230520609766245,1
0.0186644421189272,0.0300350151956081,1
0.0224385758593667,0.0212214756757021,1
0.0156083481832085,0.0386262312531471,1
0.0204947062614718,0.021460859104991,1
0.0103369166995269,0.0414732173085213,1
0.015019213999467,0.0278405789285898,1
0.019763921556789,0.0175811517983675,0
0.0172928132449271,0.0131999729201198,1
0.0272472817760776,0.0124860927462578,0
0.0170398170798946,0.0286678485572338,1
0.0252948824201954,0.0142868161201477,0
0.0147414319756965,0.0334262996912003,1
0.0171707697277714,0.0219393763691187,1
0.0114435836349587,0.0416920520365238,1
0.0178920744812991,0.0185772571712732,1
0.00978534039111245,0.0445028319954872,1
0.0138118513561446,0.0336686111986637,1
0.0122535695930372,0.0438583306968212,1
0.0171909137555257,0.0428746491670609,1
0.0138417873402576,0.0411052219569683,1
0.0290620603660511,0.0197190903127193,0
0.0217803285944802,0.00619903346523643,0
0.0162429137763676,0.00882475823163986,1
0.03028077367031,0.0156380962580442,0
0.0182395812679247,0.02399648912251,1
0.025043726191082,0.015349037013948,0
0.0107006780676668,0.0369432754814625,1
0.0232900094098266,0.0145613951608539,1
0.013205599116505,0.0314484871923923,1
0.0147451839289606,0.0334969498217106,1
0.0130217714295258,0.0362728126347065,1
0.0116075122623395,0.0415636226534843,1
0.0177387052234734,0.0275109093636274,1
0.0130203148676003,0.0425003096461296,1
0.0199239074581923,0.0319720022380352,1
0.0167546559517821,0.0389196388423443,1
0.0158086071585655,0.0411306619644165,1
0.0296695823299406,0.0298504009842873,0
0.029925558546512,0.0298439227044582,1
0.029791401090702,0.00689495401456952,0
0.0325032479079457,0.0145191829651594,0
0.00991821906125077,0.0334031395614147,1
0.011383171382881,0.0360270105302334,1
0.0235726619980423,0.0126302819699049,0
0.0233646084536243,0.00996385514736176,0
0.0218644623063448,0.0126606924459338,0
0.0125616406155208,0.0309592727571726,1
0.0223076297394302,0.0131013719365001,0
0.0143940302596222,0.0326243974268436,1
