Rate (nm/s),Curvature (/nm),Species
0.00501690660238412,0.0725698918104172,1
0.0114210142961273,0.0874099656939507,1
0.015545097177816,0.11032596975565,1
0.00880471985947925,0.0725769326090813,1
0.00922153170494847,0.0950089246034622,1
0.0141861917610388,0.106534622609615,1
0.00649905674356711,0.076959989964962,1
0.0066666756858866,0.0687053799629211,1
0.00719886629199359,0.0863815918564796,1
0.00219716756606448,0.0603989064693451,1
0.00659138658671975,0.0819772705435753,1
0.00252901768923561,0.0482651256024837,1
0.00410872849936633,0.0606413707137108,1
0.0143342348892212,0.0974773764610291,1
0.0162522537982952,0.102736704051495,1
0.0159970762281843,0.100583232939243,1
0.00873712778014626,0.049668200314045,1
0.00530922284345265,0.0617742314934731,1
0.0135787641532067,0.100249737501144,1
0.00427708788907963,0.0637437328696251,1
0.0129235389705511,0.0960253849625587,1
0.0102056702556194,0.0858193039894104,1
0.00544842038670787,0.0567539557814598,1
0.00485881741567276,0.0725909918546677,1
0.00449801188186426,0.0499926507472992,1
0.00263677435538136,0.0627688243985176,1
0.00146064082990753,0.0511445887386799,1
0.0070780374143597,0.0594234503805637,1
0.0159110369673138,0.0883368253707886,1
0.0074118721464092,0.0673663467168808,1
0.00703424059113346,0.0685262829065323,1
0.00904322680752977,0.0751077458262444,1
0.00495895121002339,0.065646156668663,1
0.00464199807794628,0.058924850076437,1
0.00620981397774188,0.0607667416334152,1
0.0129934867722083,0.0448935739696026,1
0.0111076977640095,0.0262827910482883,1
0.0119929237305407,0.068354956805706,1
0.0151048470493502,0.0748764500021935,1
0.0165187680677446,0.0718207210302353,1
0.0152140980201478,0.0517190061509609,1
0.0160207717686462,0.0783976092934608,1
0.00924369149729972,0.0486889630556107,1
0.0112694761019096,0.0691071525216103,1
0.012863981274018,0.0738563686609268,1
0.0118477512738273,0.080857940018177,1
0.00972278007236818,0.0882368981838226,1
0.0104087364146824,0.0564201176166534,1
0.00998089973721906,0.0646281614899635,1
0.00798995364945163,0.0808043032884598,1
0.00608234613431011,0.076373778283596,1
0.0072086145073985,0.022803982719779,1
0.00687447768957523,0.0382365807890892,1
0.0121469807108259,0.0512253791093826,1
0.0128780883602906,0.0663472041487694,1
