2.70882606506348,-45
4.71551322937012,-42.5
6.7940571308136,-40
9.82138419151306,-37.5
11.8918304443359,-35
13.8268299102783,-32.5
16.0123829841614,-30
19.2096583843231,-27.5
21.2455990314484,-25
23.6759748458862,-22.5
25.648693561554,-20
28.6993911266327,-17.5
30.8469860553741,-15
32.8793017864227,-12.5
34.8339872360229,-10
37.7442138195038,-7.5
39.6640026569366,-5
41.6063168048859,-2.5
44.6314902305603,0
46.5981001853943,2.5
48.5847089290619,5
51.6797020435333,7.5
53.9207255840302,10
55.9706723690033,12.5
58.0807147026062,15
61.1875245571136,17.5
63.3062081336975,20
65.2562222480774,22.5
68.3184740543365,25
70.2874701023102,27.5
73.2288312911987,30
75.2972340583801,32.5
78.4062542915344,35
80.380544424057,37.5
83.5425641536713,40
85.6263248920441,42.5
88.8464403152466,45
92.0005786418915,47.5
95.1840329170227,50
98.4512445926666,52.5
102.691562891006,55
105.990605354309,52.5
109.129699707031,50
112.158210754395,47.5
115.314563751221,45
118.449266910553,42.5
121.536013841629,40
123.50003862381,37.5
126.584594964981,35
128.649231433868,32.5
131.691298723221,30
133.782977104187,27.5
136.857668876648,25
138.928321361542,22.5
142.033237695694,20
143.984937906265,17.5
146.926771640778,15
149.064397335052,12.5
151.160992860794,10
153.1188621521,7.5
156.0899310112,5
158.092030525208,2.5
160.055254936218,0
162.090702056885,-2.5
164.032910108566,-5
167.048670053482,-7.5
169.128597021103,-10
171.093762397766,-12.5
174.29789853096,-15
176.697901964188,-17.5
178.766762971878,-20
181.780020475388,-22.5
183.713854789734,-25
185.761783838272,-27.5
187.747710227966,-30
189.824433326721,-32.5
191.764394521713,-35
193.802437543869,-37.5
196.844164609909,-40
198.891302585602,-42.5
200.880883932114,-45
202.815256357193,-42.5
205.845797538757,-40
207.962662696838,-37.5
210.324331760406,-35
213.401005268097,-32.5
216.437674999237,-30
218.452837705612,-27.5
220.379685163498,-25
223.536845445633,-22.5
225.481551885605,-20
227.562912225723,-17.5
229.672553777695,-15
231.620089292526,-12.5
234.538484811783,-10
236.489211559296,-7.5
238.431455373764,-5
241.458733081818,-2.5
243.703628540039,0
246.665904045105,2.5
248.635871887207,5
251.697195053101,7.5
253.833449363708,10
255.790913581848,12.5
258.938175916672,15
261.062879800797,17.5
263.186314105988,20
266.192581176758,22.5
268.150907993317,25
271.169975280762,27.5
273.273133039474,30
276.431475639343,32.5
278.400272607803,35
281.572800636292,37.5
283.65766954422,40
286.829999446869,42.5
288.87180352211,45
293.214219093323,47.5
296.365185976028,50
299.568162202835,52.5
303.811969995499,55
307.192275524139,52.5
310.364177942276,50
313.531933307648,47.5
316.730004787445,45
319.993143558502,42.5
321.961726665497,40
325.125755310059,37.5
327.196125268936,35
330.376918315887,32.5
332.42071890831,30
335.633575201035,27.5
337.560096025467,25
340.687973976135,22.5
342.754286289215,20
345.73312330246,17.5
347.699188232422,15
349.676809549332,12.5
352.794830083847,10
354.757039546967,7.5
356.726945877075,5
358.742269515991,2.5
360.725705385208,0
363.909602403641,-2.5
365.879513978958,-5
367.979027986526,-7.5
370.063058376312,-10
373.031309366226,-12.5
375.118602275848,-15
377.199239969254,-17.5
380.297760725021,-20
382.370277881622,-22.5
384.410795688629,-25
386.429314613342,-27.5
388.404014348984,-30
390.464264392853,-32.5
393.51097369194,-35
395.486174821854,-37.5
397.538732051849,-40
399.588743686676,-42.5
402.611353874207,-45
405.57635641098,-42.5
407.598023176193,-40
410.703100919724,-37.5
412.735037326813,-35
414.782301425934,-32.5
416.869022846222,-30
418.9188580513,-27.5
421.035118341446,-25
424.205072879791,-22.5
426.148819446564,-20
428.231380224228,-17.5
431.347898721695,-15
433.295712947845,-12.5
435.332559108734,-10
438.391158342361,-7.5
440.343101024628,-5
442.261905908585,-2.5
445.247482538223,0
447.164481878281,2.5
450.140639781952,5
452.095464468002,7.5
455.180094718933,10
457.140039682388,12.5
459.269317865372,15
462.521398305893,17.5
464.65821814537,20
467.601606845856,22.5
469.583624601364,25
472.607585430145,27.5
475.587890148163,30
477.57358455658,32.5
480.735847711563,35
482.696570634842,37.5
485.881796121597,40
489.054767608643,42.5
491.150840759277,45
495.449661254883,47.5
498.571238040924,50
501.786776065826,52.5
506.043944835663,55
509.41330242157,52.5
512.591370105743,50
515.761671066284,47.5
518.936667203903,45
522.089047431946,42.5
524.194332361221,40
527.37442946434,37.5
529.426521778107,35
532.661338090897,32.5
534.642039775848,30
537.748872995377,27.5
539.725808620453,25
542.779156923294,22.5
544.864123344421,20
547.85071349144,17.5
550.002185821533,15
552.158318758011,12.5
555.282023906708,10
557.297260284424,7.5
559.242637872696,5
561.245543003082,2.5
564.228529930115,0
566.231176137924,-2.5
568.163128376007,-5
571.186295509338,-7.5
573.104644298553,-10
575.090289354324,-12.5
578.184037446976,-15
580.295000076294,-17.5
582.447395563126,-20
585.559974193573,-22.5
587.519365787506,-25
589.508791446686,-27.5
591.485315322876,-30
593.522811412811,-32.5
595.559881210327,-35
597.691518306732,-37.5
600.73797082901,-40
602.789858341217,-42.5
604.760518550873,-45
606.713485479355,-42.5
609.619500637054,-40
611.650226354599,-37.5
613.699521064758,-35
616.757398605347,-32.5
618.815291881561,-30
620.878475904465,-27.5
622.814706325531,-25
624.949977636337,-22.5
627.903648614883,-20
630.019214391708,-17.5
632.189598798752,-15
635.27425122261,-12.5
637.291257858276,-10
640.304441213608,-7.5
642.250533103943,-5
644.309413194656,-2.5
647.415732383728,0
649.401849508286,2.5
652.530760765076,5
654.472751140594,7.5
657.613559246063,10
